,rank,songname,artist,urls,lyrics_raw
0,1,Uptown-Funk,Mark-Ronson,http://genius.com/Mark-Ronson-Uptown-Funk-lyrics,"[Verse 1] / This hit, that ice cold / Michelle Pfeiffer, that white gold / This one, for them hood girls / Them good girls, straight masterpieces / Stylin', wilin' / Livin’ it up in the city / Got Chucks on with Saint Laurent / Gotta kiss myself I’m so pretty / [Pre-Chorus] / I’m too hot (hot damn) / Call the police and the fireman / I’m too hot (hot damn) / Make a dragon wanna retire man / I’m too hot (hot damn) / Say my name you know who I am / I’m too hot (hot damn) / And my band 'bout that money / Break it down / [Chorus] / Girls hit your hallelujah (Woo!) / Girls hit your hallelujah (Woo!) / Girls hit your hallelujah (Woo!) / Cause Uptown funk gon’ give it to you / Cause Uptown funk gon’ give it to you / Cause Uptown funk gon’ give it to you / Saturday night and we in the spot / Don’t believe me, just watch (come on) / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Hey, hey, hey, oh! / [Verse 2] / Stop / Wait a minute / Fill my cup put some  liquor in it / Take a sip, sign the check / Julio! Get the stretch! / Ride to Harlem, Hollywood, Jackson, Mississippi / If we show up, we gon’ show out / Smoother than a fresh jar of Skippy / [Pre-Chorus 2] / I’m too hot (hot damn) / Call the police and the fireman / I’m too hot (hot damn) / Make a dragon wanna retire man / I’m too hot (hot damn) / Bitch, say my name you know who I am! / I’m too hot (hot damn) / And my band 'bout that money / Break it down / [Chorus] / Girls hit your hallelujah (Woo!) / Girls hit your hallelujah (Woo!) / Girls hit your hallelujah (Woo!) / Cause Uptown Funk gon’ give it to you / Cause Uptown Funk gon’ give it to you / Cause Uptown Funk gon’ give it to you / Saturday night and we in the spot / Don’t believe me, just watch (come on) / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Hey, hey, hey, oh! / [Bridge] / Before we leave / Lemme tell y’all a lil’ something / Uptown Funk you up, Uptown Funk you up / Uptown Funk you up, Uptown Funk you up / I said Uptown Funk you up, Uptown Funk you up / Uptown Funk you up, Uptown Funk you up / Come on, dance / Jump on it / If you sexy then flaunt it / If you freaky then own it / Don’t brag about it, come show me / Come on, dance / Jump on it / If you sexy then flaunt it / Well it’s Saturday night and we in the spot / [Part-Chorus] / Don’t believe me, just watch (come on) / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Don’t believe me, just watch / Hey, hey, hey, oh! / [Outro] / Uptown Funk you up, Uptown Funk you up (say whaa?!) / Uptown Funk you up, Uptown Funk you up / Uptown Funk you up, Uptown Funk you up (say whaa?!) / Uptown Funk you up, Uptown Funk you up / Uptown Funk you up, Uptown Funk you up (say whaa?!) / Uptown Funk you up, Uptown Funk you up / Uptown Funk you up, Uptown Funk you up (say whaa?!) / Uptown Funk you up"
1,2,Thinking-Out-Loud,Ed-Sheeran,http://genius.com/Ed-Sheeran-Thinking-Out-Loud-lyrics,"[Verse 1] / When your legs don't work like they used to before / And I can't sweep you off of your feet / Will your mouth still remember the taste of my love? / Will your eyes still smile from your cheeks? / And darling I will be loving you till we're seventy / And baby, my heart could still fall as hard at twenty-three / And I'm thinking about how / [Pre-Chorus 1] / People fall in love in mysterious ways / Maybe just the touch of a hand / Well me, I fall in love with you every single day / I just wanna tell you I am / [Chorus] / So honey, now, take me into your loving arms / Kiss me under the light of a thousand stars / Place your head on my beating heart, I'm thinking out loud / And maybe we found love right where we are / [Verse 2] / When my hair's all but gone and my memory fades / And the crowds don't remember my name / When my hands don't play the strings the same way / I know you will still love me the same / Cause honey your soul could never grow old, it's evergreen / And baby, your smile's forever in my mind and memory / And I'm thinking about how / [Pre-Chorus 2] / People fall in love in mysterious ways / And maybe it's all part of a plan / Well I'll just keep on making the same mistakes / Hoping that you'll understand / [Chorus] / So, baby, now, take me into your loving arms / Kiss me under the light of a thousand stars / Place your head on my beating heart, I'm thinking out loud / And maybe we found love right where we are / [Chorus] / So baby, now, take me into your loving arms / Kiss me under the light of a thousand stars / Oh darling, place your head on my beating heart, I'm thinking out loud / That maybe we found love right where we are / Oh baby, we found love right where we are / And we found love right where we are"
2,3,See-You-Again,Wiz-Khalifa,http://genius.com/Wiz-Khalifa-See-You-Again-lyrics,"[Chorus: Charlie Puth] / It's been a long day without you, my friend / And I'll tell you all about it when I see you again / We've come a long way from where we began / Oh, I'll tell you all about it when I see you again / When I see you again / [Verse 1: Wiz Khalifa] / Damn, who knew? / All the planes we flew / Good things we been through / That I'd be standing right here talking to you / 'Bout another path / I know we loved to hit the road and laugh / But something told me that it wouldn't last / Had to switch up / Look at things different, see the bigger picture / Those were the days / Hard work forever pays / Now I see you in a better place, uh / [Refrain: Wiz Khalifa] / How can we not talk about family / When family's all that we got? / Everything I went through / You were standing there by my side / And now you gon' be with me for the last ride / [Chorus: Charlie Puth] / It's been a long day without you, my friend / And I'll tell you all about it when I see you again / We've come a long way from where we began / Oh, I'll tell you all about it when I see you again / When I see you again / [Post-Chorus: Charlie Puth] / Aah oh, aah oh / Wooooh-oh-oh-oh-oh-oh / Yeah / [Verse 2: Wiz Khalifa] / First, you both go out your way / And the vibe is feeling strong / And what's small turned to a friendship / A friendship turned to a bond / And that bond will never be broken / The love will never get lost / And when brotherhood come first / Then the line will never be crossed / Established it on our own / When that line had to be drawn / And that line is what we reached / So remember me when I'm gone / [Refrain: Wiz Khalifa] / How can we not talk about family / When family's all that we got? / Everything I went through / You were standing there by my side / And now you gon' be with me for the last ride / [Bridge: Charlie Puth] / So let the light guide your way, yeah / Hold every memory as you go / And every road you take / Will always lead you home, home / [Chorus: Charlie Puth] / It's been a long day without you, my friend / And I'll tell you all about it when I see you again / We've come a long way from where we began / Oh, I'll tell you all about it when I see you again / When I see you again / [Post-Chorus: Charlie Puth] / Aah oh, aah oh / Wooooh-oh-oh-oh-oh-oh / Yeah"
3,4,Trap-Queen,Fetty-Wap,http://genius.com/Fetty-Wap-Trap-Queen-lyrics,"[Intro] / RGF productions / Remy Boyz, yeaahhhh / 1738 / [Bridge] / I'm like ""Hey, what's up? Hello"" / Seen yo pretty ass soon as you came in the door / I just wanna chill, got a sack for us to roll / Married to the money, introduced her to my stove / Showed her how to whip it, now she remixin' for low / She my trap queen, let her hit the bando / We be countin' up, watch how far them bands go / We just set a goal, talkin' matchin' Lambos / At 56 a gram, 5 a 100 grams though / Man, I swear I love her, how she work the damn pole / Hit the strip club, we be letting bands go / Everybody hating, we just call them fans, though / In love with the money, I ain't never lettin' go / [Hook] / And I get high with my baby / I just left the mall, I'm gettin' fly with my baby, yeah / And I can ride with my baby / I be in the kitchen cookin' pies with my baby, yeah / And I can ride with my baby / I just left the mall, I'm gettin' fly with my baby, yeah / And I can ride with my baby / I be in the kitchen cookin' pies / [Verse 1] / I'm like, ""Hey, what's up? Hello"" / I hit the strip with my trap queen, cause all we know is bands / I just might snatch up a 'Rari and buy my boo a Lamb' / I might just snatch her a necklace, drop a couple on a ring / She ain't wantin' for nothin' because I got her everything / It's big ZooWap from the bando, remind me where I can't go / Remy Boyz got the stamp, though / Count up hella them bands though / Boy how far can your bands go? / Fetty Wap, I'm livin' fifty thousand / K how I stand though, if you checkin' for my pockets I'm like / [Hook] / And I get high with my baby / I just left the mall, I'm gettin' fly with my baby, yeah / And I can ride with my baby / I be in the kitchen cookin' pies with my baby, yeah / And I can ride with my baby / I just left the mall, I'm gettin' fly with my baby, yeah / And I can ride with my baby / I be in the kitchen cookin' pies / [Bridge] / I'm like, ""Hey, what's up? Hello"" / Seen yo pretty ass soon as you came in the door / I just wanna chill, got a sack for us to roll / Married to the money, introduced her to my stove / Showed her how to whip it, now she remixin' for low / She my trap queen, let her hit the bando / We be countin' up, watch how far them bands go / We just set a goal, talkin' matchin' Lambos / At 56 a gram, 5 a 100 grams though / Man, I swear I love her, how she work the damn pole / Hit the strip club, we be letting bands go / Everybody hating, we just call them fans, though / In love with the money, I ain't never lettin' go / [Verse 2] / I be smokin' dope and you know Backwoods what I roll / Remy Boyz, Fetty eating shit up, that's fasho / I'll run in ya house, then I'll fuck your ho / Cause Remy Boyz or nothin', Re-Re-Remy Boyz or nothin' / [Outro: Nitt Da Gritt (Fetty Wap)] / (She my trap queen) / Yeah, you hear my boy / (She my trap queen) / Soundin' like a zillion bucks on the track / (She my trap queen) / I got whatever on my boy, whatever / (And I get high with my baby) / Put your money where your mouth is / Money on the wood make the game go good / Money out of sight cause fights / Put up or shut up, huh? / Nitt Da Gritt, RGF Productions / (ZooWap)"
4,5,Sugar,Maroon-5,http://genius.com/Maroon-5-Sugar-lyrics,"[Directed by David Dobkin] / [Verse 1] / I'm hurting baby, I'm broken down / I need your loving, loving I need it now / When I'm without you, I'm something weak / You got me begging, begging I'm on my knees / [Pre-Chorus] / I don't wanna be needing your love / I just wanna be deep in your love / And it's killing me when you're away / Ooh baby / Cause I really don't care where you are / I just wanna be there where you are / And I gotta get one little taste / [Chorus] / Sugar, yes please / Would you come and put it down on me? / I'm right here, cause I need / Little love, a little sympathy / Yeah you show me good loving, make it alright / Need a little sweetness in my life / Your sugar, yes please / Would you come and put it down on me? / [Verse 2] / Babe, my broken pieces, you pick them up / Don't leave me hanging, hanging come give me some / When I'm without you, I'm so insecure / You are the one thing, one thing I'm living for / [Pre-Chorus] / I don't wanna be needing your love / I just wanna be deep in your love / And it's killing me when you're away / Ooh baby / Cause I really don't care where you are / I just wanna be there where you are / And I gotta get one little taste / [Chorus] / Sugar, yes please / Would you come and put it down on me? / I'm right here, cause I need / Little love, a little sympathy / Yeah you show me good loving, make it alright / Need a little sweetness in my life / Your sugar, yes please / Would you come and put it down on me? / [Bridge] / I want that red velvet / I want that sugar sweet / Don't let nobody touch it unless that somebody's me / I gotta be a man, there ain't no other way / Cause girl you're hotter than a Southern California day / Never wanna play no games, you don't gotta  be afraid / Don't give me all that shy shit / No makeup on, that's my sugar / [Chorus] / Sugar, yes please / Would you come and put it down on me? / I'm right here, cause I need / Little love, a little sympathy / Yeah you show me good loving, make it alright / Need a little sweetness in my life / Your sugar, yes please / Would you come and put it down on me? / [Chorus] / Sugar, yes please / Would you come and put it down on me? / I'm right here, cause I need / Little love, a little sympathy / Yeah you show me good loving, make it alright / Need a little sweetness in my life / Your sugar, yes please / Would you come and put it down on me?"
5,6,Shut-Up-and-Dance,Walk-the-Moon,http://genius.com/Walk-the-Moon-Shut-Up-and-Dance-lyrics,"[Intro] / [Chorus] / Oh don’t you dare look back / Just keep your eyes on me / I said “You’re holding back” / She said “Shut up and dance with me” / This woman is my destiny / She said “Oooooh, shut up and dance with me” / [Verse 1] / We were victims of the night / A chemical, physical, kryptonite / Helpless to the bass and fading light / Oh we were bound to get together / Bound to get together / [Pre-Chorus] / She took my arm I don’t know how it happened / We took the floor and she said / [Chorus] / Oh don’t you dare look back / Just keep your eyes on me / I said “You’re holding back” / She said “Shut up and dance with me” / This woman is my destiny / She said “Oooooh, shut up and dance with me” / [Verse 2] / A backless dress and some beat up sneaks / My discotheque Juliet, teenage dream / I felt it in my chest since she looked at me / I knew we were bound to be together / Bound to be together / [Pre-Chorus] / She took my arm I don’t know how it happened / We took the floor and she said / [Chorus] / Oh don’t you dare look back / Just keep your eyes on me / I said “You’re holding back” / She said “Shut up and dance with me” / This woman is my destiny / She said “Oooooh, shut up and dance with me” / [Bridge] / Deep in her eyes I think I see the future / I realize this is my last chance / She took my arm I don’t know how it happened / We took the floor and she said / [Chorus] / Oh don’t you dare look back / Just keep your eyes on me I said you’re holding back / She said “shut up and dance with me” / This woman is my destiny / She said “Oooooh, shut up and dance” / Don’t you dare look back / Just keep your eyes on me / I said you’re holding back / She said “shut up and dance with me” / This woman is my destiny / She said “Oooooh, shut up and dance with me” / ”Oooooh, shut up and dance with me” / ”Oooooh, shut up and dance with me”"
6,7,Blank-Space,Taylor-Swift,http://genius.com/Taylor-Swift-Blank-Space-lyrics,"[Verse 1] / Nice to meet you, where you been? / I could show you incredible things / Magic, madness, heaven, sin / Saw you there and I thought / “Oh my God, look at that face / You look like my next mistake.” / Love’s a game, want to play, hey? / New money, suit & tie / I can read you like a magazine / Ain’t it funny, rumors fly / And I know you heard about me / So hey, let’s be friends / I’m dying to see how this one ends / Grab your passport and my hand / I can make the bad guys good for a weekend / [Chorus] / So it’s gonna be forever / Or it’s gonna go down in flames / You can tell me when it’s over, mhm / If the high was worth the pain / Got a long list of ex-lovers / They’ll tell you I’m insane / ’Cause you know I love the players / And you love the game / ’Cause we’re young and we’re reckless / We’ll take this way too far / It’ll leave you breathless, hm / Or with a nasty scar / Got a long list of ex-lovers / They’ll tell you I’m insane / But I’ve got a blank space, baby / And I’ll write your name / [Verse 2] / Cherry lips, crystal skies / I could show you incredible things / Stolen kisses, pretty lies / You’re the King, baby, I’m your Queen / Find out what you want / Be that girl for a month / Wait, the worst is yet to come, oh no / Screaming, crying, perfect storms / I can make all the tables turn / Rose gardens filled with thorns / Keep you second guessing like / “Oh my God, who is she?” / I get drunk on jealousy / But you’ll come back each time you leave / Cause darling I’m a nightmare dressed like a daydream / [Chorus] / So it’s gonna be forever / Or it’s gonna go down in flames / You can tell me when it’s over, mhm / If the high was worth the pain / Got a long list of ex-lovers / They’ll tell you I’m insane / ’Cause you know I love the players / And you love the game / ’Cause we’re young and we’re reckless / We’ll take this way too far / It’ll leave you breathless, hm / Or with a nasty scar / Got a long list of ex-lovers / They’ll tell you I’m insane / But I’ve got a blank space, baby / And I’ll write your name / [Bridge] / Boys only want love if it’s torture / Don’t say I didn’t, say I didn’t warn ya / Boys only want love if it’s torture / Don’t say I didn’t, say I didn’t warn ya / [Chorus] / So it’s gonna be forever / Or it’s gonna go down in flames / You can tell me when it’s over, mhm / If the high was worth the pain / Got a long list of ex-lovers / They’ll tell you I’m insane / ’Cause you know I love the players / And you love the game / ’Cause we’re young and we’re reckless / We’ll take this way too far / It’ll leave you breathless, hm / Or with a nasty scar / Got a long list of ex-lovers / They’ll tell you I’m insane / But I’ve got a blank space, baby / And I’ll write your name"
7,8,Watch-Me,Silento,http://genius.com/Silento-Watch-Me-lyrics,"[Intro] / You already know who it is / Silentó / Silentó / Silentó / Go on an' do it for me / [Hook] / Now watch me whip (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Watch me do it) / Now watch me whip (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Can you do it?) / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh / [Verse 1] / Do the stanky leg (stank) do the stanky leg (stank-stank) / Do the stanky leg (stank) do the stanky leg (stank-stank) / Do the stanky leg (stank) do the stanky leg (stank-stank) / Do the stanky leg (stank) do the stanky leg (stank-stank) / Now break your legs (break 'em) break your legs (brake the knob) / Tell 'em ""break your legs"" (break 'em) break your legs (brake the knob) / Gon' and break your legs (break 'em) break your legs (brake the knob) / Gon' and break your legs (break 'em) break your legs (brake the knob) / [Pre-Hook] / Now watch me bop bop bop bop bop / Bop bop bop bop bop / Now watch me bop bop bop bop bop / Bop bop bop bop bop / [Hook] / Now watch me whip / (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Watch me do it) / Now watch me whip (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Can you do it?) / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh / [Verse 2] / Now watch me you (Soulja!), now watch me Superman (okay) / Now watch me  you (Soulja!), now watch me Superman (okay) / Now watch me you (Soulja!), now watch me Superman (okay) / Now watch me you (Soulja!), now watch me Superman (okay) / Now watch me duff, duff, duff, duff, duff / Duff, duff, duff (Hold on) / Now watch me duff, duff, duff, duff, duff / Duff, duff, duff, duff / [Pre-Hook] / Now watch me bop bop bop bop bop / Bop bop bop bop bop / Now watch me bop bop bop bop bop / Bop bop bop bop bop / [Hook] / Now watch me whip (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Watch me do it) / Now watch me whip (Kill it!) / Now watch me nae nae (Okay!) / Now watch me whip, whip / Watch me nae nae (Can you do it?) / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh / Now watch me, ooh watch me, watch me / Ooh watch me, watch me / Ooh watch me, watch me / Ooh ooh ooh ooh"
8,9,Earned-It,The-Weeknd,http://genius.com/The-Weeknd-Earned-It-lyrics,"[Intro] / I'mma care for you / I'mma care for you, you, you, you / [Verse 1] / You make it look like it's magic (Oh yeah) / Cause I see nobody, nobody but you, you, you / I'm never confused / Hey, hey / I'm so used to bein' used / [Pre-Hook] / So I love when you call unexpected / Cause I hate when the moment's expected / So I'mma care for you, you, you / I'mma care for you, you, you, you, yeah / [Hook] / Cause girl, you're perfect / You're always worth it / And you deserve it / The way you work it / Cause girl, you earned it, yeah / Girl, you earned it, yeah / [Verse 2] / You know our love would be tragic (Oh yeah) / So you don't pay it, don't pay it no mind, mind, mind / We live with no lies / Hey, hey / You're my favorite kind of night / [Pre-Hook] / So I love when you call unexpected / Cause I hate when the moment's expected / So I'mma care for you, you, you / I'mma care for you, you, you, you, yeah / [Hook] / Cause girl, you're perfect (Girl, you're perfect) / You're always worth it (Always worth it) / And you deserve it (And you deserve it) / The way you work it (The way you work it) / Cause girl, you earned it, yeah (Earned it) / Girl, you earned it, yeah / [Verse 3] / On that lonely night (Lonely night) / We said it wouldn't be love / But we felt the rush (Fell in love) / It made us believe it was only us (Only us) / Convinced we were broken inside, yeah, inside, yeah / [Hook] / Cause girl, you're perfect (Girl, you're perfect) / You're always worth it (Always worth it) / And you deserve it (And you deserve it) / The way you work it (The way you work it) / Cause girl, you earned it, yeah (Earned it) / Girl, you earned it, yeah / [Outro] / Na-na-na-na-na / Oh-oh-oh / Yeah, yeah / Cause girl, you're perfect / The way you work it / You deserve it / Girl, you deserve it / Girl, you earned it, yeah, yeah"
9,10,The-Hills,The-Weeknd,http://genius.com/The-Weeknd-The-Hills-lyrics,"[Intro] / Yeah, yeah, yeah / [Verse 1] / Your man on the road, he doin' promo / You said, ""Keep our business on the low-low"" / I'm just tryna get you out the friend zone / Cause you look even better than the photos / I can't find your house, send me the info / Drivin' through the gated residential / Found out I was comin', sent your friends home / Keep on tryna hide it but your friends know / [Chorus] / I only call you when it's half past five / The only time that I'll be by your side / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, yeah / I only call you when it's half past five / The only time I'd ever call you mine / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, babe / [Verse 2] / I'ma let you know and keep it simple / Tryna keep it up don't seem so simple / I just fucked two bitches 'fore I saw you / And you gon' have to do it at my tempo / Always tryna send me off to rehab / Drugs started feelin' like it's decaf / I'm just tryna live life for the moment / And all these motherfuckers want a relapse / [Chorus] / I only call you when it's half past five / The only time that I'll be by your side / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, yeah / I only call you when it's half past five / The only time I'd ever call you mine / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, babe / [Bridge] / Hills have eyes, the hills have eyes / Who are you to judge, who are you to judge? / Hide your lies, girl, hide your lies / Only you to trust, only you / [Chorus] / I only call you when it's half past five / The only time that I'll be by your side / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, yeah / I only fuck you when it's half past five / The only time I'd ever call you mine / I only love it when you touch me, not feel me / When I'm fucked up, that's the real me / When I'm fucked up, that's the real me, babe / [Outro] / Ewedihalehu / Yene konjo, ewedihalehu / Yene fikir, fikir, fikir, fikir / Yene fikir, fikir, fikir, fikir"
