,rank,songname,artist,urls,lyrics_raw,word_counts,unique_word_counts,lyrkl_score,Year
0,1,Happy,Pharrell-Williams,http://genius.com/Pharrell-Williams-Happy-lyrics,"[Produced by Pharrell Williams] / [Verse 1] / It might seem crazy what I'm 'bout to say / Sunshine she's here, you can take a break / I'm a hot air balloon that could go to space / With the air, like I don't care, baby, by the way / [Hook] / (Because I'm happy) / Clap along if you feel like a room without a roof / (Because I'm happy) / Clap along if you feel like happiness is the truth / (Because I'm happy) / Clap along if you know what happiness is to you / (Because I'm happy) / Clap along if you feel like that's what you wanna do / [Verse 2] / Here come bad news, talking this and that (Yeah!) / Well, give me all you got, don't hold it back (Yeah!) / Well, I should probably warn ya, I'll be just fine (Yeah!) / No offense to you, don’t waste your time, here's why... / [Hook] / (Because I'm happy) / Clap along if you feel like a room without a roof / (Because I'm happy) / Clap along if you feel like happiness is the truth / (Because I'm happy) / Clap along if you know what happiness is to you / (Because I'm happy) / Clap along if you feel like that's what you wanna do / [Bridge] / Bring me down / Can't nothing bring me down / My level's too high to bring me down / Can't nothing bring me down, I said... / Bring me down / Can't nothing bring me down / My level's too high to bring me down / Can't nothing bring me down, I said... / [Hook x2 + Bridge + Hook x2]",208.0,88.0,37.2307692308,2014
1,2,Dark-Horse,Katy-Perry,http://genius.com/Katy-Perry-Dark-Horse-lyrics,"[Produced by Max Martin and Dr. Luke] / [Video directed by Matthew Cullen] / [Intro: Juicy J] / Yeah ya'll know what it is / Katy Perry / Juicy J / Uh huh, let's rage! / [Verse 1: Katy Perry] / I knew you were / You were gonna come to me / And here you are / But you better choose carefully / Cause I-I-I / I'm capable of anything / Of anything / And everything / Make me your Aphrodite / Make me your one and only / But don't make me your enemy / Your enemy / Your enemy / [Chorus: Katy Perry] / So you wanna play with magic? / Boy, you should know what you're falling for / Baby, do you dare to do this? / Cause I'm coming at you like a dark horse / Are you ready for? / Ready for? / A perfect storm? / Perfect storm? / Cause once you're mine / Once you're mine / There's no going back / [Verse 2: Katy Perry] / Hey! [etc.] / Mark my words / This love will make you levitate / Like a bird / Like a bird without a cage / We're down to earth / If you choose to walk away / Don't walk away / It's in the palm of your hand now baby / It's a yes or a no? / No maybe / So just be sure / Before you give it all to me / All to me / Give it all to me / [Chorus: Katy Perry] / So you wanna play with magic? / Boy, you should know what you're falling for / Baby, do you dare to do this? / Cause I'm coming at you like a dark horse / Are you ready for? / Ready for? / A perfect storm? / Perfect storm? / Cause once you're mine / Once you're mine / There's no going back / [Verse 3: Juicy J] / She's a beast, I call her Karma / She eat your heart out like Jeffrey Dahmer / Be careful, try not to lead her on / Shawty's heart is on steroids, cause her love is so strong / You may fall in love when you meet her / If you get the chance you better keep her / She's sweet as pie but if you break her heart / She turn cold as a freezer / That fairy tale ending with a knight in shining armor / She can be my sleeping beauty, I'm gon' put her in a coma (Woo!) / Damn, I think I love her, shawty's so bad, I'm sprung and I don't care / She ride me like a roller coaster, turn the bedroom into a fair / Her love is like a drug, I was tryna hit it and quit it / But lil mama so dope, I messed around and got addicted / [Chorus: Katy Perry] / So you wanna play with magic? / Boy, you should know what you're falling for / Baby, do you dare to do this? / Cause I'm coming at you like a dark horse / Are you ready for? / Ready for? / A perfect storm? / Perfect storm? / Cause once you're mine / Once you're mine / There's no going back",435.0,196.0,88.3126436782,2014
2,3,All-of-Me,John-Legend,http://genius.com/John-Legend-All-of-Me-lyrics,"[Verse 1] / What would I do without your smart mouth? / Drawing me in and you kicking me out / You got my head spinning, no kidding, I can't pin you down / What's going on in that beautiful mind? / I'm on your magical mystery ride / And I'm so dizzy, don't know what hit me, but I'll be all right / [Pre-Hook] / My head's under water but I’m breathing fine / You're crazy and I'm out of my mind / [Hook] / Cause all of me loves all of you / Love your curves and all your edges / All your perfect imperfections / Give your all to me / I'll give my all to you / You're my end and my beginning / Even when I lose, I’m winning / Cause I give you all of me / And you give me all of you / [Verse 2] / How many times do I have to tell you? / Even when you're crying, you're beautiful too / The world is beating you down, I’m around / Through every mood / You're my downfall, you're my muse / My worst distraction, my rhythm and blues / I can't stop singing, it's ringing in my head for you / [Pre-Hook] / My head's under water but I’m breathing fine / You're crazy and I'm out of my mind / [Hook] / Cause all of me loves all of you / Love your curves and all your edges / All your perfect imperfections / Give your all to me / I'll give my all to you / You're my end and my beginning / Even when I lose, I’m winning / Cause I give you all of me / And you give me all of you / [Bridge] / Cards on the table, we're both showing hearts / Risking it all, though it’s hard / [Hook] / Cause all of me loves all of you / Love your curves and all your edges / All your perfect imperfections / Give your all to me / I'll give my all to you / You're my end and my beginning / Even when I lose, I’m winning / Cause I give you all of me / And you give me all of you / [Outro] / I give you all of me / And you give me all of you",333.0,111.0,37.0,2014
3,4,Fancy,Iggy-Azalea,http://genius.com/Iggy-Azalea-Fancy-lyrics,"[Verse 1: / Iggy Azalea / ] / First things first, I'm the realest (realest) / Drop this and let the whole world feel it (let 'em feel it) / And I'm still in the Murda Bizness / I can hold you down, like I'm giving lessons in physics (right, right?) / You should want a bad bitch like this (huh?) / Drop it low and pick it up just like this (yeah) / Cup of Ace, cup of Goose, cup of Cris / High heels, something worth a half a ticket on my wrist (on my wrist) / Taking all the liquor straight, never chase that (never) / Rooftop like we bringing '88 back (what?) / Bring the hooks in, where the bass at? / Champagne spilling, you should taste that / [Hook: Charli XCX] / I'm so fancy, you already know / I'm in the fast lane, from L.A. to Tokyo / I'm so fancy, can't you taste this gold? / Remember my name, 'bout to blow-oh-oh-oh / [Verse 2: / Iggy Azalea / ] / I said baby, I do this, I thought that, you knew this / Can't stand no haters, and honest, the truth is / And my flow retarded, each beat dear, departed / Swagger on stupid, I can't shop at no department / Better get my money on time, if they not money, decline / And swear I meant that there so much that they give that line a rewind / So get my money on time, if they not money, decline / I just can't worry 'bout no haters, gotta stay on my grind / Now tell me, who that, who that? That do that, do that? / Put that paper over all, I thought you knew that, knew that / I be that / I-G-G-Y / , put my name in / bold / I been working, I'm up in here with some change to throw / [Hook: Charli XCX] / I'm so fancy, you already know / I'm in the fast lane, from L.A. to Tokyo / I'm so fancy, can't you taste this gold? / Remember my name, 'bout to blow-oh-oh-oh / [Bridge: Charli XCX] / Trash the hotel, let's get drunk on the minibar / Make the phone call, feels so good getting what I want / Yeah, keep on turning it up / Chandelier swinging, we don't give a fuck / Film star, yeah I’m deluxe / Classic, expensive, you don't get to touch, aow! / [Verse 3: / Iggy Azalea / ] / Still stunting, how you love that? / Got the whole world asking how I does that / Hot girl, hands off, don't touch that / Look at it, I bet you wishing you could clutch that / That's just the way you like it, huh? / You so good, he's just wishing he could bite it, huh? / Never turn down nothing / Slayin' these hoes, gold trigger on the gun like / [Hook: Charli XCX] / I'm so fancy, you already know / I'm in the fast lane, from L.A. to Tokyo / I'm so fancy, can't you taste this gold? / Remember my name, 'bout to blow-oh-oh-oh / [Outro: / Iggy Azalea / & (Charli XCX)] / Who that, who that? / I-G-G-Y / That do that, do that, / I-G-G-Y / Who that, who that? / I-G-G-Y / (Blow-oh-oh-oh) / Who that, who that? / I-G-G-Y / That do that, do that, / I-G-G-Y / Who that, who that? / I-G-G-Y / (Blow-oh-oh-oh)",462.0,209.0,94.5476190476,2014
4,5,Counting-Stars,OneRepublic,http://genius.com/OneRepublic-Counting-Stars-lyrics,"[Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be counting stars / Yeah we'll be counting stars / [Verse 1 - OneRepublic] / I see this life, like a swinging vine / Swing my heart across the line / And in my face is flashing signs / Seek it out and ye' shall find / Old, but I'm not that old / Young, but I'm not that bold / And I don't think the world is sold / On just doing what we're told / I-I-I-I feel something so right / Doing the wrong thing / I-I-I-I feel something so wrong / Doing the right thing / I couldn't lie, couldn't lie, couldn't lie / Everything that kills me makes me feel alive / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be counting stars / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be, we'll be counting stars / [Verse 2- OneRepublic] / I feel the love and I feel it burn / Down this river, every turn / Hope is our four-letter word / Make that money, watch it burn / Old, but I'm not that old / Young, but I'm not that bold / And I don't think the world is sold / On just doing what we're told / I-I-I-I feel something so wrong / Doing the right thing / I could lie, could lie, could lie / Everything that drowns me makes me wanna fly / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be counting stars / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be, we'll be counting stars / [Bridge - OneRepublic] / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned / [Interlude - OneRepublic] / Everything that kills me / Makes me feel alive / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be counting stars / [Chorus - OneRepublic] / Lately, I've been, I've been losing sleep / Dreaming about the things we could be / But baby, I've been, I've been praying hard / Said no more counting dollars / We'll be, we'll be counting stars / [Bridge - OneRepublic] / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned / Take that money / Watch it burn / Sink in the river / The lessons I've learned",511.0,108.0,22.8258317025,2014
5,6,Talk-Dirty,Jason-Derulo,http://genius.com/Jason-Derulo-Talk-Dirty-lyrics,"[Prod. by Ricky Reed] / [Verse 1: Jason Derulo] / I'm that flight that you get on, international / First class seat on my lap, girl, riding comfortable / Cause I know what da girl dem need / New York to Haiti / I got lipstick stamps on my passport, make it hard to leave / [Pre-Hook: Jason Derulo] / Been around the world, don't speak the language / But your booty don't need explaining / All I really need to understand is when you / Talk dirty to me / [Hook: Jason Derulo] / Talk dirty to me / Talk dirty to me / Talk dirty to me / Get jazzy on me / [Verse 2: Jason Derulo] / You know the words to my songs, no habla Inglés / Our conversations ain't long, but you know what is / I know what the girl dem want / London to Taiwan / I got lipstick stamps on my passport, I think I need a new one / [Pre-Hook: Jason Derulo] / Been around the world, don't speak the language / But your booty don't need explaining / All I really need to understand is when you / Talk dirty to me / [Hook: Jason Derulo] / Talk dirty to me / Talk dirty to me / Talk dirty to me / Get jazzy on me / [Bridge: Jason Derulo] / Uno: met a friend in Rio / Dos: she was all on me-o / Tres: we could ménage à three-o / Cuatro: / [Verse 3: 2 Chainz] / Dos Cadenas, close to genius / Sold out arenas, you can suck my penis / Gilbert Arenas, guns on deck / Chest to chest, tongue on neck / International oral sex / Every picture I take, I pose a threat / Bought a jet, what do you expect? / Her pussy so good I bought her a pet / Anyway, every day I'm trying to get to it / Got her saved in my phone under ""Big Booty"" / Anyway, every day I'm trying to get to it / Got her saved in my phone under ""Big Booty"" / [Pre-Hook: Jason Derulo] / Been around the world, don't speak the language / But your booty don't need explaining / All I really need to understand is when you / Talk dirty to me / [Hook: Jason Derulo] / Talk dirty to me / Talk dirty to me / Talk dirty to me / Get jazzy on me",318.0,135.0,57.3113207547,2014
6,7,Rude,Magic,http://genius.com/Magic-Rude-lyrics,"[Verse 1: MAGIC!] / Saturday morning jumped out of bed and put on my best suit / Got in my car and raced like a jet, see all the way to you / Knocked on your door with heart in my hand to ask you a question / Cause I know that you're an old-fashioned man, yes, yes / [Bridge 1: MAGIC!] / Can I have your daughter for the rest of my life? / Say yes, say yes / Cause I need to know / You say I'll never get your blessing 'til the day I die / Tough luck, my friend, but the answer is no! / [Chorus: MAGIC!] / Why you gotta be so rude? / Don't you know I'm human too? / Why you gotta be so rude? / I'm gonna marry her anyway / (Marry that girl) / Marry her anyway / (Marry that girl) / Yeah, no matter what you say / (Marry that girl) / And we'll be a family / Why you gotta be so rude / [Verse 2: MAGIC!] / I hate to do this, you leave no choice / I can't live without her / Love me or hate me we will be both / Standing at that altar / Or we will run away / To another galaxy you know / You know she's in love with me / She will go anywhere I go / [Bridge 2: MAGIC!] / Can I have your daughter for the rest of my life? / Say yes, say yes, cause I need to know / You say I'll never get your blessing 'til the day I die / Tough luck, my friend, but the answer's still no! / [Chorus: MAGIC!] / Why you gotta be so rude? / Don't you know I'm human too? / Why you gotta be so rude? / I'm gonna marry her anyway / (Marry that girl) / Marry her anyway / (Marry that girl) / Yeah no matter what you say / (Marry that girl) / And we'll be a family / Why you gotta be so rude yeah / (So rude) / [ / Bridge: MAGIC! / ] / Can I have your daughter for the rest of my life? / Say yes, say yes, cause I need to know / You say I'll never get your blessing 'til the day I die / Tough luck, my friend, but no still means no! / [Chorus: MAGIC!] / Why you gotta be so rude? / Don't you know I'm human too? / Why you gotta be so rude? / I'm gonna marry her anyway / (Marry that girl) / Marry her anyway / (Marry that girl) / Yeah no matter what you say / (Marry that girl) / And we'll be a family / Why you gotta be so rude / Why, why, why, why / (say) / Say why you gotta be so rude",378.0,122.0,39.3756613757,2014
7,8,All-About-That-Bass,Meghan-Trainor,http://genius.com/Meghan-Trainor-All-About-That-Bass-lyrics,"[Chorus] / Because you know I'm all about that bass / 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass / [Verse 1] / Yeah, it's pretty clear, I ain't no size two / But I can shake it, shake it, like I'm supposed to do / Cause I got that boom boom that all the boys chase / And all the right junk in all the right places / I see the magazines working that Photoshop / We know that shit ain't real, come on now, make it stop / If you got beauty beauty just raise 'em up / Cause every inch of you is perfect from the bottom to the top / [Pre-Chorus] / Yeah, my momma she told me don't worry about your size / She says, boys like a little more booty to hold at night / (That booty, booty, uh, that booty booty) / You know I won't be no stick-figure, silicone Barbie doll / So, if that's what's you're into then go ahead and move along / [Chorus] / Because you know I'm all about that bass / 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass / [Verse 2] / Hey, I'm bringing booty back / Go ahead and tell them skinny bitches that / No, I'm just playing I know you think you're fat / But I'm here to tell you / Every inch of you is perfect from the bottom to the top / [Pre-Chorus] / Yeah, my momma she told me don't worry about your size / She says, boys like a little more booty to hold at night / (That booty, booty, uh, that booty booty) / You know I won't be no stick-figure, silicone Barbie doll / So, if that's what's you're into then go ahead and move along / [Chorus] / Because you know I'm all about that bass / 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass / Because you know I'm all about that bass / 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass / Because you know I'm all about that bass / 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass, no treble / I'm all 'bout that bass, 'bout that bass / [Click here to read about when Meghan Trainor met her co-writer on this song, Kevin Kadish]",419.0,114.0,31.0167064439,2014
8,9,Problem,Ariana-Grande,http://genius.com/Ariana-Grande-Problem-lyrics,"[Produced by Max Martin, Shellback, and Ilya] / [Music Video] / [Intro: Iggy Azalea] / Uh-huh! It's Iggy Iggs! / I got one more problem with you girl, hey! / (One less, one less problem) / [Verse 1: Ariana / Grande / ] / Hey baby, even though I hate ya / I wanna love ya, I want you / And even though I can't forgive ya / I really want to, I want you / Tell me, tell me, baby / Why can't you leave me? / Cause even though I shouldn't want it / I gotta have it, I want you / [Pre-Hook: Ariana Grande] / Head in the clouds, got no weight on my shoulders / I should be wiser, and realize that I've got / [Hook: / Big Sean / & Ariana Grande] / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / [Verse 2: Ariana Grande] / I know you're never gonna wake up / I gotta give up, but it's you / I know I shouldn't ever call back / Or let you come back, but it's you / Every time you touch me / And say you love me / I get a little bit breathless / I shouldn't want it, but it's you / [Pre-Hook: Ariana Grande] / Head in the clouds, got no weight on my shoulders / I should be wiser, and realize that I've got / [Hook: / Big Sean / & Ariana Grande] / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / [Verse 3: Iggy Azalea] / It's Iggy Iggs! Uh, what you got? / Smart money bettin' I'll be better off without you / In no time I'll be forgettin' all about you / You sayin' that you know, but I really, really doubt / You understand my life is easy when I ain't around you / Iggy Iggy, too biggie to be here stressin' / I'm thinkin' I love the thought of you more than I love your presence / And the best thing now is probably for you to exit / I let you go, let you back, I finally learned my lesson / No half-steppin', either you want it or you just playin' / I'm listenin' to you knowin' I can't believe what you're sayin' / There's a million you's baby boo, so don't be dumb / I got 99 problems but you won't be one / Like what / [Bridge: Ariana Grande] / One less, one less problem / One less, one less problem / [Pre-Hook: Ariana Grande] / Head in the clouds, got no weight on my shoulders / I should be wiser, and realize that I've got / [Hook: / Big Sean / & Ariana Grande] / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem) / One less problem without ya / I got one less problem without ya / I got one less problem without ya / (I got one less, one less problem)",473.0,144.0,43.8393234672,2014
9,10,Stay-with-Me,Sam-Smith,http://genius.com/Sam-Smith-Stay-with-Me-lyrics,"[Verse 1] / Guess it's true, I'm not good at a one-night stand / But I still need love cause I'm just a man / These nights never seem to go to plan / I don't want you to leave, will you hold my hand? / [Chorus] / Oh won't you stay with me? / Cause you're all I need / This ain't love, it's clear to see / But darling, stay with me / [Verse 2] / Why am I so emotional? / No it's not a good look, gain some self control / And deep down I know this never works / But you can lay with me so it doesn't hurt / [Chorus] / Oh won't you stay with me? / Cause you're all I need / This ain't love, it's clear to see / But darling, stay with me / [Chorus] / Oh won't you stay with me? / Cause you're all I need / This ain't love, it's clear to see / But darling, stay with me / [Chorus] / Oh won't you stay with me? (Oh won't you stay, won't you stay) / Cause you're all I need / This ain't love, it's clear to see (This ain't love, no, no) / But darling, stay with me",164.0,67.0,27.3719512195,2014
